Istanti con almeno un valore watt > 10000 W
IMEI: 86853106210447
Totale record anomali: 57
======================================================================
Data/Ora (UTC)               w_min    w_max  w_medio
----------------------------------------------------------------------
2025-11-13 18:34:00             77    63456     1274
2025-11-14 07:15:00            212    50176     2772
2025-11-14 09:05:00              2    64286      647
2025-11-14 09:08:00             84    59548      369
2025-11-14 09:09:00             74    64851     1648
2025-11-14 09:12:00             24    54893       72
2025-11-14 11:37:00             90    65282      534
2025-11-14 13:02:00            750    38881      750
2025-11-14 13:37:00              2    32677       11
2025-11-14 13:57:00            693    62415    21057
2025-11-14 13:58:00            103    62982    14398
2025-11-14 14:03:00             29    65427     5756
2025-11-15 07:51:00             74    50391      563
2025-11-15 07:54:00             16    57460       47
2025-11-15 07:55:00             60    51671       60
2025-11-15 07:58:00             17    64923     3256
2025-11-15 08:05:00             10    65210     2144
2025-11-15 08:06:00             72    65391     6719
2025-11-15 08:07:00            115    64745     7317
2025-11-15 08:20:00              5    65463      547
2025-11-15 08:21:00            165    65427    23013
2025-11-15 08:22:00             66    59790     1496
2025-11-15 13:54:00            206    50607     2335
2025-11-15 13:55:00            518    65463    38735
2025-11-15 13:56:00             78    64887    10700
2025-11-15 13:57:00            105    65030     9648
2025-11-15 14:15:00            157    65391    15619
2025-11-16 09:31:00            109    25567      109
2025-11-16 10:10:00              2    21405        3
2025-11-16 10:28:00              7    20059       13
2025-11-16 10:39:01              6    65318      437
2025-11-16 11:05:00              2    59219       20
2025-11-16 11:33:00              2    37061       15
2025-11-17 07:37:00            563    65354    37151
2025-11-17 07:37:58            166    64887    24479
2025-11-17 07:38:59          28073    63117    36522
2025-11-17 07:39:00          19846    65030    31659
2025-11-17 07:40:00            410    64959    35034
2025-11-17 08:16:00           3039    65391    34013
2025-11-17 08:57:00             78    65318    14775
2025-11-17 09:38:00              1    65102      370
2025-11-17 11:56:00           4294    65500    35025
2025-11-17 11:57:00            139    65463    14456
2025-11-17 12:01:00           3650    64007    35046
2025-11-17 12:02:00           9620    65282    36734
2025-11-17 12:03:00             97    61633     8097
2025-11-17 15:21:00            124    63834     8101
2025-11-18 07:16:00              2    62021      143
2025-11-18 07:17:00            695    65463    40765
2025-11-18 07:18:00            192    62814    24644
2025-11-18 07:19:00          19502    65174    32333
2025-11-18 07:20:00           4483    63834    24464
2025-11-18 07:21:00            564    61891     7794
2025-11-18 07:30:00             11    51739      140
2025-11-18 07:32:00             47    65500     1753
2025-11-18 08:22:00              1    58953       11
2026-02-03 18:00:53            154    62054      953
