Istanti con almeno un valore watt > 10000 W
IMEI: 86684007269888
Totale record anomali: 235
======================================================================
Data/Ora (UTC)               w_min    w_max  w_medio
2025-11-23 11:53:00            895    55357     5350
2025-11-23 17:23:00            401    40790      785
2025-11-24 16:37:00            113    55305      113
2025-11-24 17:43:00              2    43290       28
2025-11-25 07:38:00             75    56470      665
2025-11-25 08:04:00              2    47243       51
2025-11-25 09:14:00            190    54842     1302
2025-11-25 09:21:00              9    52336      148
2025-11-25 10:06:00              1    59608       82
2025-11-25 10:16:00              6    53233       46
2025-11-25 11:56:00            396    60248     1801
2025-11-25 12:55:00            516    63150     5130
2025-11-25 12:56:00          22659    65246    44824
2025-11-25 12:57:00           4365    64532    35365
2025-11-25 12:58:00            128    56768     1072
2025-11-25 13:23:00              2    27704       16
2025-11-25 13:24:00            118    64994     7969
2025-11-25 13:25:00           1201    64887    22089
2025-11-25 13:26:00            866    64076    25235
2025-11-25 13:27:00           1193    65391    38509
2025-11-25 13:28:00           1124    65138    23914
2025-11-25 13:29:00            652    65282    16797
2025-11-25 13:30:00            144    63150     6171
2025-11-25 13:31:00            192    61665     7319
2025-11-25 13:32:00            212    63662    12230
2025-11-25 13:33:00            241    65463    11659
2025-11-25 13:34:00            369    65354    12835
2025-11-25 13:35:00            364    65354    11458
2025-11-25 13:36:00            233    64567    14288
2025-11-25 13:37:00            177    61344     3541
2025-11-25 13:38:00            262    65463    11946
2025-11-25 13:39:00            514    65102     9430
2025-11-25 13:40:00            897    65427    25311
2025-11-25 13:41:00            668    65282    32606
2025-11-25 13:42:00            483    65391    24227
2025-11-25 13:43:01            449    63868    10838
2025-11-25 13:44:00            259    61633     4889
2025-11-25 13:45:00            536    65427    15309
2025-11-25 13:46:00            511    65500    26321
2025-11-25 13:47:00            552    65463    30535
2025-11-25 13:48:00            444    65427    25915
2025-11-25 13:49:00            120    63184     5578
2025-11-25 15:21:00            875    64603    19730
2025-11-25 15:22:00             80    60995     1897
2025-11-25 17:56:00             19    27206       64
2025-11-25 23:24:00            172    53865     1000
2025-11-26 06:30:00            180    60713      822
2025-11-26 06:31:01            225    65282    30873
2025-11-26 06:53:00            514    60217    12396
2025-11-26 06:54:00          24798    64286    40698
2025-11-26 06:55:00          23836    65427    47812
2025-11-26 06:56:00            902    65318    19497
2025-11-26 06:57:00            151    65174     1463
2025-11-26 07:28:00              6    65354     1522
2025-11-26 07:29:00             86    65210     9830
2025-11-26 12:28:00            400    54893     1974
2025-11-26 12:29:00           1393    65500    17795
2025-11-26 12:30:00           2572    65500    30895
2025-11-26 12:31:00           5977    65500    34231
2025-11-26 12:31:57            134    65500    22413
2025-11-26 12:32:57          28013    61472    39561
2025-11-26 12:33:00          24398    65463    40836
2025-11-26 12:34:00           4477    65500    35853
2025-11-26 12:35:00           6709    65463    39323
2025-11-26 12:36:00           3588    65354    32295
2025-11-26 12:37:00            200    65391    13498
2025-11-27 07:36:00             15    64638     1494
2025-11-27 07:39:00             22    64391      517
2025-11-27 11:15:00             10    52105       28
2025-11-27 11:31:00            109    53233      358
2025-11-27 11:32:00             73    10333      169
2025-11-27 11:35:00             33    61989     1009
2025-11-27 11:38:00             65    57404      171
2025-11-27 11:39:00             49    64638      344
2025-11-27 11:41:00             63    24913      215
2025-11-27 11:43:00             72    64567      223
2025-11-27 11:44:00            153    39230      343
2025-11-27 11:46:00            102    60681      208
2025-11-27 11:47:00            187    62881      485
2025-11-27 11:48:00            165    63938      439
2025-11-27 11:50:00            121    52105      193
2025-11-27 11:51:00            127    58835      628
2025-11-27 11:52:00            192    56147      602
2025-11-27 11:53:00             93    58168     1680
2025-11-27 11:54:00            119    57572      885
2025-11-27 12:03:00            351    65318    25494
2025-11-27 12:04:00            956    65318    25496
2025-11-27 12:05:00            200    54918     1373
2025-11-27 12:34:00              9    21566       15
2025-11-27 12:51:00             42    40932      149
2025-11-27 12:52:00            124    28357      590
2025-11-27 12:53:00            252    58631     2185
2025-11-27 12:54:00           1294    64851     6587
2025-11-27 12:55:00           1808    62647    16664
2025-11-27 12:56:00           1969    65500    34497
2025-11-27 12:57:00           4857    65427    41307
2025-11-27 12:58:00           1926    65500    42832
2025-11-27 12:59:00          25561    65500    48494
2025-11-27 13:00:00           9853    64887    47077
2025-11-27 13:01:00            782    64923    25376
2025-11-27 13:02:00            728    61826     4619
2025-11-27 13:03:00            404    39599     1500
2025-11-27 14:15:00            601    57292     4018
2025-11-27 14:16:00           4589    65354    35694
2025-11-27 14:17:00          25228    65463    48892
2025-11-27 14:18:00          20820    65500    46393
2025-11-27 14:18:59            153    65463    22505
2025-11-27 14:20:00           1963    63490     9513
2025-11-27 14:21:00            180    30656     1313
2025-11-27 17:34:00            226    35287      436
2025-11-27 17:35:00             63    53572      357
2025-11-27 22:33:00           1036    21837     2766
2025-11-29 16:46:00             77    59790      153
2025-11-29 16:54:00             10    63972       61
2025-11-29 16:58:00             19    17601       91
2025-11-29 17:01:00             23    64745      997
2025-11-29 17:02:00            106    65427     1841
2025-11-29 17:03:00             70    50759      109
2025-11-29 18:10:00             71    61633     2861
2025-11-30 09:17:00             14    64462      558
2025-11-30 09:18:00             67    65102     3116
2025-11-30 09:19:00             32    54715      190
2025-11-30 09:20:00            133    55175     2046
2025-11-30 09:21:00            106    65500     3059
2025-11-30 09:22:00            102    22448      174
2025-11-30 10:20:00              1    60464        2
2025-11-30 10:21:00             72    51200      652
2025-11-30 10:24:00             71    64851      292
2025-11-30 10:28:00            156    64603     4777
2025-11-30 10:36:00             79    62283      451
2025-11-30 10:38:00             44    65391      244
2025-11-30 11:18:00            200    20923      590
2025-11-30 11:19:00            999    64994    31408
2025-11-30 11:20:00          28793    65500    51801
2025-11-30 11:21:00          26920    65463    50793
2025-11-30 11:22:02            165    65500    31207
2025-11-30 11:23:00          17119    65427    47431
2025-11-30 11:24:00          25852    65463    49938
2025-11-30 11:25:00          14927    65500    47682
2025-11-30 11:26:00          20445    65463    47504
2025-11-30 11:27:00          27776    65500    49709
2025-11-30 11:28:00            227    65500    32268
2025-11-30 11:29:00            153    65463    27479
2025-11-30 11:30:00            116    65030    12283
2025-11-30 12:27:00             16    65210     2632
2025-11-30 12:28:00          18446    65463    48215
2025-11-30 12:29:00          26284    65500    49198
2025-11-30 12:30:00          27828    65463    47650
2025-11-30 12:31:01            152    65500    29181
2025-11-30 12:32:00          26367    65354    50608
2025-11-30 12:33:00          27300    65463    50857
2025-11-30 12:34:00          26052    65463    49180
2025-11-30 12:35:00           9723    65500    38786
2025-11-30 12:36:00            801    65463    26575
2025-11-30 15:24:00            133    65318     9359
2025-11-30 15:30:00              9    32814       19
2026-01-17 09:51:00            113    14623      190
2026-01-17 18:24:00             92    64146     2283
2026-01-18 08:44:00            118    63938     2416
2026-01-18 08:48:00             15    50326       27
2026-01-19 07:07:00             60    21951      120
2026-01-19 08:30:00             80    63150      390
2026-01-19 08:31:00             41    56823      103
2026-01-19 08:32:00            157    64674      712
2026-02-05 12:30:00             26    64462      259
