Istanti con almeno un valore watt > 10000 W
IMEI: 86684007269888
Totale record anomali: 235
======================================================================
Data/Ora (UTC)               w_min    w_max  w_medio
----------------------------------------------------------------------
2025-11-19 11:08:00            237    64959     1801
2025-11-19 11:09:00             83    51378      319
2025-11-19 11:17:00            170    64887     1157
2025-11-19 11:18:00            108    64567     1465
2025-11-19 11:19:00            224    63593     2255
2025-11-19 11:20:00             64    59279      495
2025-11-19 11:29:00             41    60995      245
2025-11-19 11:30:00            154    65463     2759
2025-11-19 11:34:00             61    46388     3691
2025-11-19 11:35:00            134    55855     4979
2025-11-19 11:36:00            246    57043     6471
2025-11-19 11:37:00          25762    65427    44913
2025-11-19 11:38:00            292    65427    36295
2025-11-19 11:41:00            443    64567    14135
2025-11-19 11:42:00          15372    65102    37974
2025-11-19 11:43:00          23750    65282    47776
2025-11-19 11:44:00            402    65246    32149
2025-11-19 11:45:01            149    59669     2396
2025-11-20 09:03:00           1911    30921     4996
2025-11-20 09:04:00           4523    65463    35575
2025-11-20 09:05:00            257    65391    10411
2025-11-20 09:06:00          19518    65354    42457
2025-11-20 09:07:00           7987    65500    41841
2025-11-20 09:08:00             96    61536     8639
2025-11-20 09:09:00             48    58835     5789
2025-11-20 09:10:00            720    65463    25736
2025-11-20 09:11:00             92    34788      523
2025-11-20 09:44:00              2    65500       78
2025-11-20 09:45:00            128    65427    12472
2025-11-20 10:38:00             31    65500     6722
2025-11-20 10:39:00          20805    65500    45645
2025-11-20 10:40:00           8085    65210    37097
2025-11-20 10:41:00             84    49070     2640
2025-11-20 11:05:00              3    63627       93
2025-11-20 11:06:00             44    49378      240
2025-11-20 11:07:00             90    50027      357
2025-11-20 11:08:00           1264    65354    30654
2025-11-20 11:20:00              5    35779       72
2025-11-20 11:21:00           3678    65500    32533
2025-11-20 11:22:00            908    65391    30333
2025-11-20 11:38:00              6    65500     3286
2025-11-20 11:39:00           9157    64007    32755
2025-11-20 11:40:00          20692    64497    35193
2025-11-20 11:41:00            153    65210    21609
2025-11-20 11:42:00            212    65500    29342
2025-11-20 11:43:00          24767    65427    45152
2025-11-20 11:44:00          25773    64780    39929
2025-11-20 11:45:00          21386    65354    35971
2025-11-20 11:46:00          23076    65427    38573
2025-11-20 11:47:00            277    65427    28545
2025-11-20 11:51:00             15    65246     2647
2025-11-20 11:52:00             79    57883     7619
2025-11-20 12:54:00            113    60869     1978
2025-11-20 12:55:00            195    64674     5235
2025-11-20 13:18:00             27    65391     5323
2025-11-20 13:19:00            360    65066    21597
2025-11-20 13:32:00             11    62218      163
2025-11-20 13:33:00             71    46571      586
2025-11-20 13:34:00            226    64780    14443
2025-11-21 12:00:00             96    63765     3424
2025-11-21 12:01:00            327    65427    26448
2025-11-21 15:51:00             16    46206       31
2025-11-21 16:02:00             10    46682       18
2025-11-22 07:28:00            144    22191      344
2025-11-22 15:59:00              7    32444       19
2025-11-22 17:59:00            312    38702      312
2025-11-23 11:49:00            225    56470     4879
2025-11-23 11:50:00           4404    64959    34494
2025-11-23 11:51:00          24840    65427    46173
2025-11-23 11:52:00           5299    65066    31313
