Istanti con almeno un valore watt > 10000 W
IMEI: 86853106211166
Totale record anomali: 67
======================================================================
Data/Ora (UTC)               w_min    w_max  w_medio
----------------------------------------------------------------------
2025-11-14 07:15:00            160    57544     1371
2025-11-14 08:55:00            586    63184    12918
2025-11-14 08:56:00            822    65427    32680
2025-11-14 08:57:00            402    65318    23206
2025-11-14 08:58:00            341    63320     3599
2025-11-14 08:59:00            465    65174     7979
2025-11-14 09:00:00            479    64286    13369
2025-11-14 09:01:00            434    65102     7474
2025-11-14 09:02:00             92    65391     4161
2025-11-14 14:19:00            900    37461     2054
2025-11-14 14:20:00           1607    64851    16080
2025-11-14 14:21:00            171    63218    12895
2025-11-14 14:28:00             10    57404      415
2025-11-14 14:29:00           1524    65282    20476
2025-11-14 14:30:00            258    65500    19797
2025-11-15 07:54:00             15    60217      183
2025-11-15 07:55:01             89    63015     2059
2025-11-15 08:00:00             13    64181      603
2025-11-15 08:01:00             70    58514     1233
2025-11-15 08:02:00            109    65391     4698
2025-11-15 08:03:00            123    65282     3478
2025-11-15 08:14:00              5    59578      141
2025-11-15 08:15:00            164    64321     4647
2025-11-15 08:17:00             62    59850      341
2025-11-15 14:18:00            177    65500    15042
2025-11-16 08:53:00            129    36933     1582
2025-11-16 08:54:00            449    65500    22551
2025-11-16 08:55:00            240    64532     4235
2025-11-16 09:09:00             27    64638     5085
2025-11-16 10:41:00            222    60495     5943
2025-11-16 10:42:00            566    65500    21212
2025-11-17 07:36:00            756    46682     1446
2025-11-17 07:41:00             14    56823      518
2025-11-17 07:42:01            193    64497    16436
2025-11-17 07:43:00            238    64887    15350
2025-11-17 08:03:55              3    12686       20
2025-11-17 08:07:00             24    65500     6545
2025-11-17 08:08:02            246    65354    17254
2025-11-17 08:09:00           1000    54563     6146
2025-11-17 09:02:00              1    63868       38
2025-11-17 09:03:00            120    65174     8717
2025-11-17 09:04:00            360    60340    10093
2025-11-17 09:05:00            201    64923     5879
2025-11-17 09:18:00              5    17974       45
2025-11-17 09:19:00           1336    63938    31531
2025-11-17 09:20:00             85    64994     2827
2025-11-17 09:21:00             66    31796     1195
2025-11-17 09:22:00            502    63696     4624
2025-11-17 09:23:00            654    65463    17276
2025-11-17 09:24:00            462    62982     6089
2025-11-17 09:25:00            328    45059     2231
2025-11-17 09:26:00           3592    65500    27446
2025-11-17 09:27:00            212    44549     1920
2025-11-17 09:32:00             15    21118       60
2025-11-17 09:33:00            141    61185     2312
2025-11-17 09:34:00             80    56067      472
2025-11-17 15:25:00           1149    49482     8060
2025-11-17 15:26:00           6607    65463    34736
2025-11-17 15:26:59            321    64887    14919
2025-11-18 07:01:57              3    14582       11
2025-11-18 07:04:00            630    64321    17840
2025-11-18 07:05:00            345    65500    21461
2025-11-18 07:06:00            310    44549     3479
2026-01-23 14:55:00            186    55775     1045
2026-01-23 14:56:00            126    65463      590
2026-01-23 14:58:00             77    63117      623
2026-01-23 14:59:00            357    60155     1551
