file,total_records,missing_any,missing_epoch,w_medio,w_istantaneo,w_massimo,granularity
iot_devices.86684007269866.json,120951,0,0,0,0,0,0
iot_devices.86684007269869.json,18468,0,0,0,0,0,0
iot_devices.86684007269887.json,109118,0,0,0,0,0,0
iot_devices.86684007269888.json,46391,0,0,0,0,0,0
iot_devices.86684007269889.json,60940,0,0,0,0,0,0
iot_devices.86853106210447.json,10562,0,0,0,0,0,0
iot_devices.86853106211162.json,120951,0,0,0,0,0,0
iot_devices.86853106211166.json,26696,0,0,0,0,0,0
iot_devices.86853106211173.json,109051,0,0,0,0,0,0
iot_devices.86853106211179.json,114969,0,0,0,0,0,0
