Istanti con almeno un valore watt > 10000 W
IMEI: 86684007269869
Totale record anomali: 70
======================================================================
Data/Ora (UTC)               w_min    w_max  w_medio
----------------------------------------------------------------------
2025-11-13 18:34:00             68    56415       68
2025-11-14 07:15:00            301    62714     4046
2025-11-14 07:55:00              2    33427        6
2025-11-14 09:05:00             16    64286     1066
2025-11-14 09:06:00            452    65138    37270
2025-11-14 09:06:58            150    62681     5853
2025-11-14 09:08:00            200    64780     3760
2025-11-14 09:09:00            126    64745     1943
2025-11-14 09:12:00             37    56470      266
2025-11-14 11:36:00            488    64851     6200
2025-11-14 11:37:00             83    59101     1917
2025-11-14 14:04:00            212    54664     3767
2025-11-14 14:05:00            726    65500    31138
2025-11-14 14:06:01            136    65391    30566
2025-11-14 14:07:00            906    63320    12765
2025-11-14 14:08:00            400    65354    17320
2025-11-14 14:09:00            269    65463    27213
2025-11-14 14:12:00            180    32786     1062
2025-11-14 14:13:00           1792    65282    33175
2025-11-15 07:02:00             75    32056      427
2025-11-15 07:51:00              1    53841        4
2025-11-15 07:54:00             16    55775       31
2025-11-15 07:57:00             20    54867      412
2025-11-15 07:58:00            423    65463    27641
2025-11-15 07:59:00            145    65391    21344
2025-11-15 08:03:00             14    60807      625
2025-11-15 08:04:00            317    65463    23333
2025-11-15 08:05:00            682    65500    24711
2025-11-15 08:06:00             65    60464     4424
2025-11-15 08:07:00            101    64321     5279
2025-11-15 08:19:00              5    64532     1350
2025-11-15 08:20:00            105    65318    20029
2025-11-15 08:21:00            100    64674     3622
2025-11-15 14:15:00              3    56470       65
2025-11-15 14:16:00           1754    65500    44995
2025-11-16 10:39:00            695    65354    28221
2025-11-16 10:40:00             84    65427     7792
2025-11-17 07:36:00            969    60495     5654
2025-11-17 07:37:00            302    65500     5424
2025-11-17 07:40:00            144    61280     7040
2025-11-17 07:41:00             71    65318     8034
2025-11-17 08:13:01              2    65463      503
2025-11-17 08:14:01            154    65500    27954
2025-11-17 08:15:00            116    64286    10610
2025-11-17 08:58:00              1    45476       53
2025-11-17 08:59:00            962    65354    34975
2025-11-17 09:00:01            154    65282    27166
2025-11-17 09:01:00            940    65500    26540
2025-11-17 09:02:00            237    65174    12412
2025-11-17 09:32:00            111    56933     3376
2025-11-17 09:33:00             75    63286     2769
2025-11-17 09:34:00             72    65246    17180
2025-11-17 09:35:00            163    65066     9472
2025-11-17 09:36:00            251    65500    17977
2025-11-17 09:37:00            390    65500    36883
2025-11-17 11:58:00             90    65500     7036
2025-11-17 11:59:01            165    65102    30640
2025-11-17 12:00:00            165    65282    18175
2025-11-17 15:21:00            600    64462    28034
2025-11-18 07:12:00              6    33830       85
2025-11-18 07:13:00           2937    65427    39386
2025-11-18 07:14:03            149    65138    18677
2025-11-18 07:15:00            212    50629     1733
2025-11-18 07:17:00            120    64216     1752
2025-11-18 07:30:00              4    61859      133
2025-11-18 07:31:01            115    64816    18143
2025-11-18 07:31:59          34788    60064    44922
2025-11-18 07:32:00            141    65102    15827
2025-11-18 07:33:00             97    65246     8265
2025-11-18 07:34:00             80    65318    12096
