Istanti con almeno un valore watt > 10000 W
IMEI: 86684007269889
Totale record anomali: 188
======================================================================
Data/Ora (UTC)               w_min    w_max  w_medio
----------------------------------------------------------------------
2025-11-17 12:33:00            728    21163      803
2025-11-18 11:35:51            253    25734     1287
2025-12-25 11:35:00            394    64356     4412
2025-12-25 12:05:00           1969    55670     2384
2025-12-25 13:04:00           3392    55279     5101
2025-12-25 13:05:00           3343    64286     4670
2025-12-25 13:35:00            499    32082     2568
2025-12-25 14:05:00            412    60619     2440
2025-12-25 14:35:00            521    63218     3836
2025-12-25 15:05:00            425    58894     1076
2025-12-25 15:35:00            572    62581     3389
2025-12-25 16:05:00           2184    53816     2807
2025-12-25 16:35:00            328    64994     3968
2025-12-25 17:05:00            237    65391     4295
2025-12-25 17:35:00            327    47895      778
2025-12-25 18:05:00            295    27131      625
2025-12-25 18:35:00            371    52105      781
2025-12-25 19:05:00            385    51944     1090
2025-12-25 19:35:00            313    65102     4284
2025-12-25 20:05:00            397    65174     4222
2025-12-25 20:35:00            271    64745     3195
2025-12-25 21:05:00            247    25024      380
2025-12-25 21:35:00            327    24303      626
2025-12-25 22:05:00            385    63490     3056
2025-12-25 22:35:00            323    18920      641
2025-12-25 23:35:00            296    29185      590
2025-12-26 00:05:00            265    34523      711
2025-12-26 00:35:00            166    64959     3213
2025-12-26 01:05:00            117    19203      200
2025-12-26 03:05:00            137    64674     2352
2025-12-26 03:35:00            143    58601     2902
2025-12-26 04:35:00            146    65210     2797
2025-12-26 05:35:00            614    60002     3930
2025-12-26 06:05:00             23    60186      938
2025-12-26 07:05:00            176    61600     2628
2025-12-26 09:05:00           1586    57854     4294
2025-12-26 09:35:00            112    62087      255
2025-12-26 10:05:00           1762    30704     2698
2025-12-26 10:07:00           2753    10278     4242
2025-12-26 10:35:00            372    62915     4707
2025-12-26 11:05:00            262    64745     4241
2025-12-26 12:05:00           2552    56254     6794
2025-12-26 12:35:00            420    57516     1891
2025-12-26 13:05:00            197    63150     3276
2025-12-26 13:35:00            815    63015     4464
2025-12-26 14:05:00            183    59911     2943
2025-12-26 14:35:00            800    63150     4559
2025-12-26 15:35:00            664    64567     4028
2025-12-26 16:05:00           1029    63117     4372
2025-12-26 16:35:00           1037    53499     1188
2025-12-26 17:05:00            911    10226     1094
2025-12-26 17:35:00            481    64994     4317
2025-12-26 18:05:00            351    64674     3178
2025-12-26 18:35:00            969    30016     1637
2025-12-26 19:05:00            377    31175      618
2025-12-26 19:35:00            294    28660      509
2025-12-26 20:35:00            185    58806     3203
2025-12-26 21:05:00            318    14381      383
2025-12-26 21:35:00            265    58111     2350
2025-12-26 22:05:00            230    58777     2777
2025-12-26 23:05:00            124    18781      238
2025-12-26 23:35:00            684    45059      938
2025-12-27 00:35:00             95    41232      211
2025-12-27 02:05:00             79    33647      229
2025-12-27 03:05:00             87    14790      151
2025-12-27 03:35:00             96    20423      157
2025-12-27 04:05:00            114    20505      210
2025-12-27 04:35:00             76    21813      176
2025-12-27 05:05:00             73    20276      241
2025-12-27 05:35:00            712    15360      886
2025-12-27 06:05:00            418    21107      565
2025-12-27 06:35:00           2043    31282     2208
2025-12-27 07:05:00            322    13000      468
2025-12-27 07:35:00            355    32310      496
2025-12-27 08:05:00            857    20990     1075
2025-12-27 08:35:00            402    21243     1466
2025-12-27 09:05:00            347    29055      527
2025-12-27 11:35:00           1801    30849     2347
2025-12-27 12:05:00            271    40932      773
2025-12-27 12:35:00            320    64923     4517
2025-12-27 13:05:00            376    33666      654
2025-12-27 13:35:00            536    22659      713
2025-12-27 14:35:00            154    56174     3466
2025-12-27 15:05:00            175    22672      374
2025-12-27 16:05:00            241    24627      613
2025-12-27 16:35:00            177    60557     2470
2025-12-27 17:05:00            256    30776      465
2025-12-27 17:35:00            316    58341      522
2025-12-27 18:05:00            273    53767      416
2025-12-27 20:35:00            243    16529      373
2025-12-27 21:05:00            427    17171      539
2025-12-27 21:35:00            374    62054      644
2025-12-27 22:35:00            305    16224      479
2025-12-27 23:35:00            178    33025      466
2025-12-28 00:05:00            110    11125      217
2025-12-28 01:05:00            754    21114      836
2025-12-28 02:05:00            152    64251      265
2025-12-28 02:35:00            103    12161      193
2025-12-28 03:05:00             98    27466      236
2025-12-28 04:35:00            128    44802      302
2025-12-28 05:35:00            119    12444      205
2025-12-28 08:05:00            706    40580      784
2025-12-28 08:35:00           1058    35161     2316
2025-12-28 09:05:00           1038    16577     1232
2025-12-28 09:35:00           1098    15866     1218
2025-12-28 11:05:00           1398    20473     2623
2025-12-28 11:35:00            941    14963     1045
2025-12-28 12:35:00            303    55383      651
2025-12-28 12:41:00           4767    16122     4937
2025-12-28 13:05:00           1190    21163     2121
2025-12-28 14:05:00            143    27607      466
2025-12-28 14:35:00            198    18369      447
2025-12-28 15:05:00             99    57488      385
2025-12-28 15:35:00            119    48525      421
2025-12-28 16:05:00            217    33006      463
2025-12-28 16:35:00            293    63938      718
2025-12-28 17:05:00            174    19766      478
2025-12-28 17:35:00            123    33399      402
2025-12-28 18:05:00            110    21179      152
2025-12-28 18:35:00            106    30752      196
2025-12-28 20:05:00            305    31558      535
2025-12-28 20:35:00            334    52128      451
2025-12-28 21:05:00            359    40083      698
2025-12-28 22:05:00            807    26939     1041
2025-12-29 00:05:00            120    62781      313
2025-12-29 01:35:00            118    20466      272
2025-12-29 02:05:00            115    32868      277
2025-12-29 02:35:00            123    11312      240
2025-12-29 03:05:00            114    13295      223
2025-12-29 03:35:00            680    29528      734
2025-12-29 05:05:00             98    42974      190
2025-12-29 06:05:00            652    35077      724
2025-12-29 06:35:00             96    15099      157
2025-12-29 07:05:00            540    21499      805
2025-12-29 08:05:00            945    29243     1156
2025-12-29 08:35:00            472    19903      569
2025-12-29 10:35:00             72    10140      169
2025-12-29 11:05:00             90    22401      226
2025-12-29 12:35:00           1022    16249     1260
2025-12-29 13:35:00           2611    53620     2790
2025-12-29 14:05:00            787    20638     1076
2025-12-29 14:35:00            942    10973     1129
2025-12-29 15:05:00            911    53137     1114
2025-12-29 15:35:00            591    40138     1847
2025-12-29 16:05:00            391    26461      721
2025-12-29 17:35:00            134    12251      240
2025-12-29 19:21:00           2007    10973     3674
2025-12-29 19:35:00            845    10734     1369
2025-12-29 22:05:00            263    19796      385
2025-12-29 23:05:00            572    19756      956
2025-12-29 23:35:00            141    27440      252
2025-12-30 01:05:00            685    12412      828
2025-12-30 08:05:00             78    23185      158
2025-12-30 09:35:00           1320    34173     2513
2025-12-30 10:35:00            957    28453     1315
2025-12-30 12:05:00           2731    25271     3083
2025-12-30 12:35:00            211    49753      512
2025-12-30 14:05:00            410    49586      643
2025-12-30 14:35:00           1681    12301     2207
2025-12-30 15:35:00            149    23933      493
2025-12-30 16:05:00            137    44033      185
2025-12-30 17:35:00            234    61826      501
2025-12-30 18:05:00            357    31340      708
2025-12-30 19:05:00            325    19514      438
2025-12-30 19:35:00            168    64111      281
2025-12-30 20:05:00            169    10156      269
2025-12-30 21:05:00            139    15687      293
2025-12-30 21:35:00            173    39975      339
2025-12-30 22:35:00            284    18275      355
2025-12-30 23:05:00            334    20363      538
2025-12-31 01:05:00            115    40330      273
2025-12-31 07:05:00            101    15314      145
2025-12-31 10:05:00            872    19017     2171
2025-12-31 11:35:00            379    31822      590
2025-12-31 12:09:00           1780    23373     3410
2025-12-31 14:05:00           1680    20356     1800
2025-12-31 15:35:00           2617    10951     2788
2025-12-31 16:35:00            929    24459     1033
2025-12-31 17:35:00           1260    15911     1409
2025-12-31 18:05:00            570    54563     1110
2025-12-31 18:35:00            771    17712      836
2025-12-31 23:05:00            283    24689      320
2026-01-01 15:05:00            923    18233     1024
2026-01-01 22:05:00            293    35628      383
2026-01-02 07:08:00           1977    17734     3981
2026-01-02 11:35:00           1509    40192     3287
2026-01-02 12:05:00            963    22166     1920
2026-01-02 14:35:00            529    23189      980
