Istanti con almeno un valore watt > 10000 W
IMEI: 86853106211173
Totale record anomali: 235
======================================================================
Data/Ora (UTC)               w_min    w_max  w_medio
----------------------------------------------------------------------
2025-11-13 15:49:00            129    11498     2232
2025-11-13 16:06:00            234    11461     3041
2025-11-13 16:15:59            228    13367     1536
2025-11-13 16:17:00            278    10115     1078
2025-11-13 16:19:00            291    16267     2503
2025-11-13 16:25:00            186    15274      954
2025-11-13 16:26:00            257    10007     2566
2025-11-13 17:01:00            130    12311     2493
2025-11-13 18:14:00            129    14578      390
2025-11-13 18:15:00            251    15110     3707
2025-11-13 18:54:00            229    11795     2253
2025-11-13 19:40:00            129    16821     2551
2025-11-13 19:46:00            150    14647      462
2025-11-13 19:47:00            270    10286     1197
2025-11-13 19:50:00            267    15263     3662
2025-11-13 20:31:00            273    16850     3283
2025-11-13 22:26:00            129    16626      322
2025-11-14 03:42:00            225    17662     2608
2025-11-14 03:43:00            225    11060     1318
2025-11-14 04:19:00            172    10642     2859
2025-11-14 04:23:00            225    12794     1764
2025-11-14 04:24:00            173    11022     1137
2025-11-14 07:42:00            170    17407     3663
2025-11-14 07:48:00            115    17531     1440
2025-11-14 07:49:00            212    10889     1075
2025-11-14 08:50:00            114    15479      218
2025-11-14 08:51:00            237    12020     3952
2025-11-14 09:18:00            114    10520     2244
2025-11-14 09:23:00            114    10187     2227
2025-11-14 09:28:00            156    17402     1343
2025-11-14 09:29:00            157    10987     2279
2025-11-14 10:11:00            213    15231     2913
2025-11-14 10:19:00            114    16747     3165
2025-11-14 10:20:00            116    10400      479
2025-11-14 10:25:00            115    10877     1786
2025-11-14 11:31:00            113    10279     2558
2025-11-14 11:37:00            130    10958     2538
2025-11-14 14:04:00            136    14079     2966
2025-11-14 14:51:00            149    12638     1034
2025-11-14 14:52:00            172    11141     2746
2025-11-14 14:56:00            215    15093     3082
2025-11-14 14:59:00            171    16939      271
2025-11-14 15:00:00            186    10958     2513
2025-11-14 15:28:00            202    13754     3374
2025-11-14 15:31:00            209    16711     3519
2025-11-14 15:55:00            128    16375     2971
2025-11-14 15:56:00            271    10259      418
2025-11-14 16:00:00            269    11288     1669
2025-11-14 17:11:00            197    17694     3326
2025-11-14 17:17:00            299    14280     3130
2025-11-14 17:19:00            265    15819     3186
2025-11-14 17:33:00            127    11505     1321
2025-11-14 17:34:00            184    11546     2152
2025-11-14 17:39:00            170    16432     2656
2025-11-14 17:43:00            235    13030     2420
2025-11-14 17:48:00            190    16386     2965
2025-11-14 18:25:00            128    10061     2918
2025-11-14 18:45:00            130    10881     1961
2025-11-14 19:34:00            222    16400     2772
2025-11-14 19:39:00            210    10955     2236
2025-11-14 20:28:00            250    11119     3599
2025-11-14 22:26:00            129    12672      288
2025-11-15 01:14:00            209    17340     3319
2025-11-15 03:07:00            128    10663     1535
2025-11-15 03:08:00            289    10639     1732
2025-11-15 03:13:00            174    14178     3287
2025-11-15 03:14:00            267    11627      777
2025-11-15 04:39:00            160    15853     2964
2025-11-15 04:42:00            227    11186      654
2025-11-15 04:43:00            229    11133     2213
2025-11-15 08:06:00            113    13390      758
2025-11-15 08:07:00            198    10594     2574
2025-11-15 08:17:00            186    11654     3291
2025-11-15 09:47:00            163    15989     3402
2025-11-15 09:48:00            169    11787     2337
2025-11-15 09:53:00            246    13666      339
2025-11-15 09:54:00            265    11359     3709
2025-11-15 10:01:00            207    10311     2719
2025-11-15 10:36:00            112    14328     1431
2025-11-15 10:37:00            213    16881     2632
2025-11-15 10:53:00            112    15310     1121
2025-11-15 10:54:00            171    16364     2380
2025-11-15 11:49:00            270    11598     4114
2025-11-15 12:29:00            115    14187     1575
2025-11-15 12:30:00            138    11450     2392
2025-11-15 12:36:00            115    10987      553
2025-11-15 12:37:00            215    10995     2091
2025-11-15 12:46:00            114    13177     1008
