approach,label,86684007269866,86684007269887,86684007269889,86853106211162,86853106211173,86853106211179
fhmm_1_dc,FHMM-1 duty avg,33.63,6.56,69.62,0.63,14.40,40.97
fhmm,FHMM,63.97,63.01,115.26,80.40,55.84,49.61
gurobi_daywise,Gurobi daywise,43.78,46.60,38.85,50.65,69.62,212.60
fhmm_1,FHMM-1 peak,59.21,24.00,110.06,24.02,50.23,217.99
event_prior,Event + prior,107.70,222.77,178.09,165.44,133.48,94.93
event,Event-based,109.35,218.94,187.46,163.29,134.95,94.63
template,Template,1483.00,1086.05,748.92,1712.53,781.27,1085.59
hmm,HMM,1454.29,1942.48,1409.07,2595.56,2505.15,2753.60
