approach,mean_mae_recon,n_households
event,151.4363802983417,6
event_prior,150.4011962679236,6
fhmm,71.34811288380429,6
fhmm_1,80.91733878652623,6
fhmm_1_dc,27.63631886404185,6
gurobi_daywise,77.01752582937603,6
hmm,2110.0250488477786,6
template,1149.558311844429,6
