Istanti con almeno un valore watt > 10000 W
IMEI: 86853106211179
Totale record anomali: 62
======================================================================
Data/Ora (UTC)               w_min    w_max  w_medio
----------------------------------------------------------------------
2025-11-14 09:02:00            185    65354     8595
2025-11-14 09:03:00            126    65427     1416
2025-11-14 09:04:00            147    65500     4548
2025-11-14 09:05:00             65    65030     2100
2025-11-14 13:06:00             97    56524      290
2025-11-14 14:06:00            172    64216    14866
2025-11-14 14:07:01            755    65500    30833
2025-11-14 14:08:00            997    65500    43630
2025-11-14 14:09:00             86    61280     6241
2025-11-14 14:13:01            157    65463    14709
2025-11-14 14:13:59          31332    64994    47150
2025-11-14 14:14:00            217    65500    24520
2025-11-15 07:51:00             66    64923       66
2025-11-15 07:54:00             16    47934       31
2025-11-15 07:57:00             21    65427      907
2025-11-15 07:58:00            167    65500    17517
2025-11-15 07:59:00            152    65500    17812
2025-11-15 08:03:00             14    65463     1119
2025-11-15 08:04:00            590    65463    32988
2025-11-15 08:05:00            190    65427     2919
2025-11-15 08:07:00             73    65354     2891
2025-11-15 08:18:00              6    56768      172
2025-11-15 08:19:00            729    65500    43770
2025-11-15 08:20:00            225    60278      887
2025-11-15 08:21:00             86    56714      711
2025-11-15 14:16:00            163    65500    20506
2025-11-15 14:17:00             69    63320     2277
2025-11-16 10:19:00              1    46224        2
2025-11-16 10:39:00              3    64181      224
2025-11-16 10:40:00            104    65463    13845
2025-11-16 11:05:00              2    59338       52
2025-11-16 11:33:00              2    58982       15
2025-11-16 18:12:00            394    21394      706
2025-11-17 07:36:00            750    43100     2113
2025-11-17 07:37:00            100    60588     1278
2025-11-17 07:40:00             77    60619      740
2025-11-17 07:41:00             71    64603     5459
2025-11-17 08:13:00              2    65463      473
2025-11-17 08:14:00            403    65500    28429
2025-11-17 08:59:00            102    65500     1917
2025-11-17 09:00:00           1216    65500    38876
2025-11-17 09:01:00            225    64994    14237
2025-11-17 09:02:00            107    65463    11039
2025-11-17 09:33:00             65    65427     2634
2025-11-17 09:34:00             71    65463    22648
2025-11-17 09:35:00            566    65391    22046
2025-11-17 09:36:00            431    65318    19911
2025-11-17 09:37:00            175    65246    18772
2025-11-17 11:59:00            200    65500    30985
2025-11-17 12:00:00            259    65246    11870
2025-11-17 15:21:00            275    64638    21365
2025-11-17 15:22:00             64    61376     1919
2025-11-17 19:01:00            144    27835      144
2025-11-18 07:13:00              5    65500      896
2025-11-18 07:14:01            442    65318    31602
2025-11-18 07:17:00            138    60464      731
2025-11-18 07:30:00              5    63388       28
2025-11-18 07:31:00            131    65246     9353
2025-11-18 07:32:00            107    65282     8697
2025-11-18 07:33:00            103    65500    17624
2025-11-18 07:34:00             86    62251     6955
2025-11-22 15:21:04            226    20062      437
